FULFILL_DATE,CF_ID,CF_NAME,TRANSPORT_MODE,INCOTERM,LOADING_PORT,DISCHARGING_PORT,LOADING_COUNTRY,DISCHARGING_COUNTRY,CLIENT,SUPPLIER,LINE_KEY,id_CARTON,consolidated_fulfillment_CARTON,CUSTRECORD_CARTON_INFO_ITEM,NUMBER_OF_CARTONS,GROSS_WEIGHT_PER_CARTON,WEIGHT_OF_FREIGHT_KG,size_length_CARTON,size_width_CARTON,size_height_CARTON,TOTAL_CBM,cbm_total_CARTON,SHIPPED_QTY,SUB_TRANSPORT_MODE,DISTANCE_TRAVELLED_KM,YEAR
2023-01-04T00:00:00Z,3731,CF-HK-23010001,Sea,FCA,"Yantian, China","Houston, United States",China,United States,Mary Kay Inc.,"DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD.",2870_1656852282431_28470,6762,3731,7884,1,4.21,4.21,51.5,37,27,0.0514,0.0514485,40,Sea,20086.79,2023
2023-01-04T00:00:00Z,3731,CF-HK-23010001,Sea,FCA,"Yantian, China","Houston, United States",China,United States,Mary Kay Inc.,"DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD.",2870_1656852282431_28470,6761,3731,7884,3516,5.91,20779.56,51.5,37,27,0.0514,180.892926,210960,Sea,20086.79,2023
2023-01-17T00:00:00Z,3732,CF-HK-23010002,Air,FOB,"Shenzhen, China","Sydney, Australia",China,Australia,Costralia Pty Ltd (t/a Sisley),"Dongguan Haiyang Handbag Co.,Ltd",2870_1663311739740_7125,6764,3732,8791,4,7.1,28.4,48,31,40,0.0595,0.23808,200,Air,null,2023
2023-01-17T00:00:00Z,3732,CF-HK-23010002,Air,FOB,"Shenzhen, China","Sydney, Australia",China,Australia,Costralia Pty Ltd (t/a Sisley),"Dongguan Haiyang Handbag Co.,Ltd",2870_1663311739739_96950,6763,3732,8788,5,5.2,26,46,44,24,0.0486,0.24288,500,Air,null,2023
2023-01-17T00:00:00Z,3733,CF-HK-23010003,Sea,FOB,"Shenzhen, China","Singapore, Singapore",China,Singapore,Sisley Cosmetics SDN BHD,"Dongguan Haiyang Handbag Co.,Ltd",2870_1663312970585_87962,6766,3733,8791,1,7.1,7.1,48,31,40,0.0595,0.05952,50,Sea,2857.64,2023
2023-01-17T00:00:00Z,3733,CF-HK-23010003,Sea,FOB,"Shenzhen, China","Singapore, Singapore",China,Singapore,Sisley Cosmetics SDN BHD,"Dongguan Haiyang Handbag Co.,Ltd",2870_1663312970585_32663,6765,3733,8788,2,5.2,10.4,46,44,24,0.0486,0.097152,200,Sea,2857.64,2023
2023-01-04T00:00:00Z,3737,CF-HK-23010007,Sea,FOB 2000,"Yantian, China","Barcelona, Spain",China,Spain,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,New ChaoQi Hair Accessories Co.LTD.DongGuan,3554_1670465768945_64347,6777,3737,9605,null,null,5.370464,null,null,null,0,null,null,Sea,15084.54,2023
2023-01-04T00:00:00Z,3737,CF-HK-23010007,Sea,FOB 2000,"Yantian, China","Barcelona, Spain",China,Spain,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,New ChaoQi Hair Accessories Co.LTD.DongGuan,3554_1670465768945_38947,6776,3737,9605,null,null,5.370464,null,null,null,0,null,null,Sea,15084.54,2023
2023-01-04T00:00:00Z,3738,CF-HK-23010008,Sea,FOB 2000,"Yantian, China","Barcelona, Spain",China,Spain,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,New ChaoQi Hair Accessories Co.LTD.DongGuan,3554_1670471075683_48859,6779,3738,9608,null,null,39.534957000000006,null,null,null,0,null,null,Sea,15084.54,2023
2023-01-04T00:00:00Z,3738,CF-HK-23010008,Sea,FOB 2000,"Yantian, China","Barcelona, Spain",China,Spain,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,New ChaoQi Hair Accessories Co.LTD.DongGuan,3554_1670471075683_53682,6778,3738,9608,null,null,39.534957000000006,null,null,null,0,null,null,Sea,15084.54,2023
