TRANSACTION_ID,TRANSACTION_LINE_ID,LINE_KEY,CLIENT_NAME,CLIENT_GROUP,ASSET_REFERENCE_ID,ASSET_NAME,ASSET_CATEGORY,ASSET_FAMILY,ASSET_SUBFAMILY,ASSET_UNIT_WEIGHT_KG,ASSET_DESCRIPTION,BATCH_SIZE,ASSET_SUPPLIERS,ASSET_SUPPLIERS_COUNT,YEAR
40452,1,2895_1649755139712_32132,Rituals Cosmetic Trade B.V.,Group - Rituals,5153,100.324,Beauty Accessories,Body,Body Cleansing Accessories,0,Hammam Kessa Glove,50100,"[""NINGBO RAFFINI IMPORT & EXPORT CO., LTD.""]",1,2022
45318,1,3006_1652801367583_90868,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,7295,102.090,Hair Accessories,Hair Accessories,Hairbands,0.03341666666666667,BANDEAU IOLA BBF,2600,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""HengXin Accessories factory""]",2,2022
37869,4,2881_1648534559477_8815,VERTBAUDET S.A.S,Group - Verbaudet,6360,101.355,Textiles,Textile Accessories,Knitted Hats,0.102796789784387,"hat,dark pink",580,"[""Dongguan Xingyi Printing Co., Ltd."",""ANHUI LIGHT INDUSTRIES INTERNATIONAL CO., LTD""]",2,2022
61127,2,2900_1661155311151_52313,Arvato Services Hong Kong Limited,Group - Rituals,5198,100.369,Packaging,Secondary,Boxes / Paper Bags,0.16,"Shipper Box 1

Container: FSC Kraft paper + Corrugated
(FSC MIX CREDIT)",15000,"[""DongGuan DEDE Packaging Co. LTD""]",1,2022
26393,37,3554_1643020187109_62921,NEWORCH,Group - Orchestra,5466,100.613,Hair Accessories,Hair Accessories,Hair Sets,0.01001931364112478,headband+hair clip in set,7440,"[""Chic Accessories Factory""]",1,2022
52341,10,4484_1656399334182_84528,Douglas Cosmetics GmbH,Group - Nocibe Douglas,6228,101.223,Beauty Accessories,Face,Blenders & Sponges,0.016944444444444446,98279 SCULPTING BLENDER SPONGE,8064,"[""NINGBO RAFFINI IMPORT & EXPORT CO., LTD."",""WING FAIT BNG (CHINA) PRINTING LIMITED""]",2,2022
51580,8,3554_1655868248374_27929,GEMO,Group - Gemo,7840,102.435,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,39REACLA,4002,"[""Chic Accessories Factory"",""Dongguan Xingyi Printing Co., Ltd.""]",2,2022
69019,1,3554_1665556197939_26501,NEWORCH,Group - Orchestra,9071,103.258,Hair Accessories,Hair Accessories,Claw Clips,0.02035037878787879,ORCBAR03-AU/AFIO6R-JAC-Assorted,10752,"[""Chic Accessories Factory""]",1,2022
22148,4,2870_1641365196437_20871,Sisley Korea Co Ltd,Group - Sisley,4809,100.187,Bags,Pouches,Cos Pouch,0.064,Pouch 07-White,3000,"[""Dongguan Haiyang Handbag Co.,Ltd""]",1,2022
66388,1,3006_1664177887909_23000,Okaidi France SAS,Group - Okaidi,8910,103.097,Hair Accessories,Hair Accessories,"Barrettes, Clips and Combs",0.016154028978710853,5clips in one set,1959,"[""Chic Accessories Factory"",""Dongguan Xingyi Printing Co., Ltd.""]",2,2022
64148,1,3554_1662711878807_21334,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,8729,102.917,Hair Accessories,Hair Accessories,Soft Headbands,0.018663126640907288,"ZN304 / ICLS23HBARO
with 3%rebate",3526,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
40461,22,3554_1649760960338_45423,NEWORCH,Group - Orchestra,6851,101.646,Hair Accessories,Hair Accessories,Soft Headbands,0.018663126640907284,TARIAH-AX/AI008V-BLF,2346,"[""Chic Accessories Factory""]",1,2022
19214,1,3180_1639108442660_28532,Avon Cosmetics Ltd,Group - Avon,4614,5580927,Home Fragrance,Diffusers,Reed Diffusers,0.3,Italian Summer 80ml Diffuser,6735,"[""Dongguan Xingyi Printing Co., Ltd."",""Ningbo Kwungs Home Interior & Gift Co Ltd""]",2,2022
27929,21,3554_1643336696726_10933,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5576,100.723,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,YY787 / ACCS22CLFUN,5514,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
33922,1,4804_1646641654769_91706,Rituals Cosmetic Trade B.V.,Group - Rituals,4590,1114740,Sundries,Home,Living Room,0.0272,Advent Christmas Lights,149240,"[""Ningbo New Beauty Commodity Co., Ltd.""]",1,2022
76020,11,3554_1670298856468_8469,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,9576,103.663,Hair Accessories,Hair Accessories,Claw Clips,0.02114808215425311,"ZS214 / ICLS23CRGL2
2pcs hair clip in set
with3%rebate",2449,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
56950,1,3554_1658978142212_52929,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,8289,102.584,Hair Accessories,Hair Accessories,Soft Headbands,0.011662237497933057,DAVAVA,412,"[""Chic Accessories Factory""]",1,2022
65604,1,4475_1663742283246_94575,Oriflame Cosmetics Global S.A.,Group - Oriflame,8815,103.003,Beauty Accessories,Hair,Hair Brushes,0.092,46357.1StylerPRO Cushion Brush,20000,"[""NINGBO RAFFINI IMPORT & EXPORT CO., LTD.""]",1,2022
30141,9,3173_1644991905101_4177,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,5856,100.889,Fashion Accessories,Jewellery,Bracelets,0.009222222222222224,BRACELET,200,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Chic Accessories Factory"",""QINGDAO JENNY CARD CO.,LTD""]",3,2022
47613,1,15447_1654076705710_60506,SLG BRANDS LIMITED,Group - SLG,6848,101.643,Cosmetics,Toiletries,Hand - Soap,0.225,"SOAP BAR (200G)

Content:
200g shaped soap bar in box (shrinkn wrapped)",15216,"[""Wahmate Industrial Company Limited"",""WING FAIT BNG (CHINA) PRINTING LIMITED""]",2,2022
63362,1,3554_1662368245489_51382,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5564,100.711,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,XM727 / ADCW20ETRE9,8165,"[""YIWU HANJI KNITTED GOODS FACTORY"",""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",3,2022
22054,1,2870_1641283277118_79137,Costralia Pty Ltd (t/a Sisley),Group - Sisley,4778,100.156,Bags,Pouches,Cos Pouch,0.0925,Pouch 10,300,"[""Dongguan Haiyang Handbag Co.,Ltd""]",1,2022
56459,5,3554_1658739537274_4156,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5545,100.692,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,XL875 / ADCW20PSTA9,4442,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
22765,1,3554_1641886801917_22112,Société FIB NC7,Group - Camaieu,5086,100.264,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,ACHOUSATINPOIS,2720,"[""Li Fu Enterprises Corp.""]",1,2022
64246,5,3554_1663052888544_28325,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,8748,102.936,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,ZN228 / ICLS23CLMIX,747,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
45685,1,3554_1653275649527_4724,NEWORCH,Group - Orchestra,6754,101.549,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,ELASTBASIC-AV/AFIOFJ-BLF,5808,"[""Chic Accessories Factory""]",1,2022
49584,1,3554_1655179058327_91744,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,7736,102.331,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,DUHORETTE,3890,"[""Chic Accessories Factory""]",1,2022
48408,11,3554_1654593270990_14638,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,7694,102.289,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,ZG492 / ICCW22CLCRO,2628,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
30212,19,3554_1644997169148_83611,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5524,100.671,Hair Accessories,Hair Accessories,Scrunchies,0.013539946820307042,XS133 / ADCW20CHBAS,296,"[""Chic Accessories Factory"",""Dongguan Xingyi Printing Co., Ltd."",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",3,2022
52444,16,3554_1656470257755_26713,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5491,100.638,Hair Accessories,Hair Accessories,Claw Clips,0.02114808215425311,XM881 / ADCW20CGRA2,106,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
42498,43,3554_1650871657514_17864,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,6142,101.138,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,XL791 / ADLW20ECOOL,2870,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
14681,13,2881_1635580475261_64716,NEWORCH,Group - Orchestra,4483,AFIOHA,Textiles,Textile Accessories,Cut & Sew Hat / Cap,0.04690452594095726,JUSTE-AW,1202,"[""Dongguan Xingyi Printing Co., Ltd."",""ANHUI LIGHT INDUSTRIES INTERNATIONAL CO., LTD""]",2,2022
41254,2,15447_1650342594372_65046,SLG BRANDS LIMITED,Group - SLG,7028,101.823,Cosmetics,Color Cosmetics,Eyes - Eyeshadow,0.354625,"CONDRAGULATIONS SUP001

Content:
Eyeshadow 1.5gx6
Highlighter 2.5g
Blush 2.5g
Lip gloss 5ml
Liquid eyeliner 0.8ml
Paper palette with mirror
Paper wrap band
PET sheet",5346,"[""Zhongshan Domiline Cosmetics Co., Ltd.""]",1,2022
51462,11,2881_1655807039890_33890,NEWORCH,Group - Orchestra,7825,102.420,Textiles,Textile Accessories,Cut & Sew Hat / Cap,0.04828420256991685,CARTEBIS-AX CAP,756,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""ANHUI LIGHT INDUSTRIES INTERNATIONAL CO., LTD""]",2,2022
68477,1,2870_1665187397398_67,Oriflame Cosmetics Global S.A.,Group - Oriflame,8313,102.608,Bags,Pouches,Cos Pouch,0.23,Hay Pouch Set with Printing Label ( FSC MIX CREDIT),9344,"[""DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD."",""WFL Printing Limited""]",2,2022
67608,1,3180_1664506165126_16504,Avon Cosmetics Ltd,Group - Avon,8975,103.162,Home Fragrance,Candles,Filled,0.3826666666666666,White Jasmine & Neroli Jar Candle Small ,5010,"[""Ramesh Flowers Private Limited""]",1,2022
46554,1,3554_1653636604910_2742,NEWORCH,Group - Orchestra,7468,102.163,Hair Accessories,Hair Accessories,Hairbands,0.0261968085106383,AMARS-AX/AFIOJ4-JAC-Assorted,7760,"[""Chic Accessories Factory""]",1,2022
34543,1,2870_1646809946893_4641,Sisley JP Co. Ltd,Group - Sisley,4778,100.156,Bags,Pouches,Cos Pouch,0.0925,Pouch 10,1050,"[""Dongguan Haiyang Handbag Co.,Ltd""]",1,2022
32791,13,3554_1646040689992_77021,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5510,100.657,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,XM789 / ADCW20EFIN9,531.6666666666666,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
