FULFILL_DATE,CF_ID,CF_NAME,TRANSPORT_MODE,INCOTERM,LOADING_PORT,DISCHARGING_PORT,LOADING_COUNTRY,DISCHARGING_COUNTRY,CLIENT,SUPPLIER,LINE_KEY,id_CARTON,consolidated_fulfillment_CARTON,CUSTRECORD_CARTON_INFO_ITEM,NUMBER_OF_CARTONS,GROSS_WEIGHT_PER_CARTON,WEIGHT_OF_FREIGHT_KG,size_length_CARTON,size_width_CARTON,size_height_CARTON,TOTAL_CBM,cbm_total_CARTON,SHIPPED_QTY,SUB_TRANSPORT_MODE,DISTANCE_TRAVELLED_KM,YEAR
2023-05-25T00:00:00Z,4932,CF-HK-23050159,Sea,CIF,"Yantian, China","Keelung, Taiwan",China,Taiwan,Mayfair House Co. Ltd.,"DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD.",2870_1678334171275_18924,9568,4932,10045,1,4.15,4.15,40,34,34,0.0462,0.04624,26,Sea,1026.01,2023
2023-05-25T00:00:00Z,4932,CF-HK-23050159,Sea,CIF,"Yantian, China","Keelung, Taiwan",China,Taiwan,Mayfair House Co. Ltd.,"DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD.",2870_1678334171275_18924,9567,4932,10045,67,9.72,651.24,40,34,34,0.0462,3.09808,4824,Sea,1026.01,2023
2023-05-25T00:00:00Z,4932,CF-HK-23050159,Sea,CIF,"Yantian, China","Keelung, Taiwan",China,Taiwan,Mayfair House Co. Ltd.,"DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD.",2870_1678334171275_5686,9566,4932,10042,1,1.6,1.6,40,34,34,0.0462,0.04624,6,Sea,1026.01,2023
2023-05-25T00:00:00Z,4932,CF-HK-23050159,Sea,CIF,"Yantian, China","Keelung, Taiwan",China,Taiwan,Mayfair House Co. Ltd.,"DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD.",2870_1678334171275_5686,9565,4932,10042,3,8.67,26.009999999999998,40,34,34,0.0462,0.13872,144,Sea,1026.01,2023
2023-05-19T00:00:00Z,4946,CF-HK-23050173,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1679392317068_42263,9586,4946,5308,1116,14.5,16182,34,33,45,0.0505,56.34684,83700,Sea,18411,2023
2023-05-19T00:00:00Z,4948,CF-HK-23050175,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Dongguanshi longmao La Chain Limited,2900_1670814804111_71678,9588,4948,5165,417,8.744,3646.248,31.2,22,40,0.0275,11.449152,2502000,Sea,18207,2023
2023-05-19T00:00:00Z,4950,CF-HK-23050177,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Dongguanshi longmao La Chain Limited,2900_1670813906532_23200,9590,4950,5166,336,8.345,2803.92,31.2,22,40,0.0275,9.225216,967680,Sea,18207,2023
2023-05-14T00:00:00Z,4952,CF-HK-23050179,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1677065040638_66450,9592,4952,9692,90,8.42,757.8,66,44,17,0.0494,4.44312,2250,Sea,11705,2023
2023-05-14T00:00:00Z,4954,CF-HK-23050181,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1678874279721_39526,9594,4954,7621,80,8.03,642.4,78,34,62,0.1644,13.15392,800,Sea,11705,2023
2023-05-14T00:00:00Z,4956,CF-HK-23050183,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1681813263300_17196,9596,4956,9693,8,13.35,106.8,54,34,20,0.0367,0.29376,200,Sea,11705,2023
